trip_distance,average_total_fare,number_of_trips
-40840124,3.8,1
-40095532,1.3,1
0,7.35,2956804
1,10.48,4174693
2,14.29,2015676
3,17.83,1003081
4,21.04,563028
5,35.29,352608
6,27.0,227417
7,30.27,155150
8,34.72,139723
9,38.83,135043
10,41.98,110737
11,44.47,75468
12,47.09,45451
13,50.58,29227
14,53.71,23295
15,57.83,25044
16,63.29,42078
17,65.15,65680
18,64.79,50970
19,65.67,28719
20,66.78,18400
21,66.77,11464
22,67.88,4916
23,72.32,1981
24,76.3,1210
25,78.59,908
26,79.15,806
27,77.69,785
28,74.85,893
29,76.7,458
30,81.54,254
31,92.44,161
32,94.8,142
33,87.57,95
34,98.76,77
35,97.53,93
36,111.55,89
37,105.88,45
38,68.02,23
39,96.89,29
40,111.3,17
41,106.31,17
42,118.27,17
43,95.1,8
44,109.06,11
45,155.01,5
46,74.27,5
47,132.86,3
48,107.49,10
49,36.69,6
50,48.13,7
51,212.54,3
52,131.66,3
53,52.8,1
54,58.13,2
55,22.52,3
56,84.73,7
57,44.7,4
58,3.3,1
59,5.63,1
60,11.8,2
61,73.13,3
62,37.8,1
63,6.02,3
64,11.97,3
65,191.63,1
66,4.3,1
67,2.3,2
68,3.8,1
70,143.93,3
72,26.9,2
74,69.76,1
76,3.8,1
78,3.3,1
79,110.05,1
80,63.43,2
83,460.3,1
85,3.8,1
87,4.47,2
91,230.8,2
93,33.38,2
94,58.13,2
95,58.13,1
97,55.48,2
99,18.34,48
100,20.05,9
101,15.0,1
102,26.05,2
103,25.3,1
109,8.63,1
112,200.3,1
114,5.63,1
130,356.63,1
134,75.56,1
135,8.63,1
138,2.97,2
143,4.3,1
145,9.63,1
146,8.63,1
150,16.56,1
152,-1.71,3
156,3.8,2
157,3.8,1
159,8.63,1
160,9.13,1
163,9.63,1
165,63.39,2
166,8.63,1
169,3.3,1
170,67.38,2
171,3.3,1
172,58.13,1
173,0.3,1
174,19.67,4
176,495.05,1
177,54.89,3
179,92.5,2
180,11.62,1
181,253.09,2
182,0.3,1
183,4.47,2
184,72.97,1
185,8.63,2
186,8.63,1
187,58.13,1
189,8.63,2
190,8.63,1
193,14.42,1
196,8.63,1
197,58.13,1
198,29.37,1
202,9.0,5
203,12.4,1
206,58.13,1
207,4.47,2
211,8.63,1
213,3.8,1
220,4.3,1
254,52.8,1
284,47.78,2
300,9.75,1
400,11.76,2
401,14.0,1
403,49.0,1
405,34.8,1
409,19.75,1
442,48.3,1
480,6.3,1
500,27.02,5
501,21.36,1
502,18.55,2
606,3.3,1
620,20.16,1
640,3.8,1
680,11.8,1
700,9.8,1
701,11.8,1
801,14.8,1
803,35.37,1
808,32.13,1
1000,5.8,1
1274,16.8,1
2500,12.96,1
2840,8.8,1
5073,8.3,1
5100,24.3,1
5133,21.96,1
6186,0.3,1
7000,20.0,1
13330,3.3,1
15801,20.3,1
22743,3.8,1
26005,41.0,1
30083,8.93,2
32005,29.76,1
35005,28.8,1
43000,3.8,1
45000,12.3,1
50333,9.3,1
92000,3.3,1
133180,4.3,1
151401,15.3,1
228255,9.3,1
286303,3.8,1
318000,3.8,1
500501,10.8,1
506330,37.8,1
514331,17.16,1
536870,4.3,1
900000,21.83,1
1000000,13.3,1
1001338,52.8,1
1236007,3.8,1
1515966,3.8,1
1531800,22.63,1
1579885,3.8,1
1638797,3.8,1
1672819,3.3,1
2200000,26.8,1
2328400,12.8,1
3180000,26.3,2
3318000,19.15,1
5000000,3.3,1
5003300,14.76,1
5043318,3.8,1
6318000,17.3,1
6710318,4.3,1
7000000,9.8,1
7468004,30.8,1
8000020,11.16,1
8000030,20.8,1
8000160,11.3,1
8005023,11.8,1
8331800,14.8,2
10083318,14.16,1
11800000,14.43,2
11800001,4.3,1
14331800,4.3,1
14731432,16.3,1
