zone,number_of_pickups
Homecrest,159
Governor's Island/Ellis Island/Liberty Island,8
Corona,431
Bensonhurst West,317
Westerleigh,9
Charleston/Tottenville,4
Newark Airport,591
Douglaston,25
East Concourse/Concourse Village,759
Mount Hope,251
Pelham Parkway,103
Marble Hill,101
Rego Park,1620
Upper East Side South,470275
Dyker Heights,80
Heartland Village/Todt Hill,15
Kew Gardens Hills,292
Rikers Island,26
Jackson Heights,8193
Bayside,69
TriBeCa/Civic Center,241908
Yorkville West,216480
Highbridge,249
Stuy Town/Peter Cooper Village,72761
Flushing Meadows-Corona Park,979
Bushwick South,7294
Riverdale/North Riverdale/Fieldston,108
Windsor Terrace,676
Old Astoria,10166
West Concourse,1393
Clinton Hill,7715
Ocean Hill,391
Stuyvesant Heights,2448
Broad Channel,2
Upper West Side North,215764
Mariners Harbor,12
East Harlem South,69600
Kensington,1047
Oakland Gardens,15
Springfield Gardens North,44
Crown Heights North,5123
Longwood,94
Lenox Hill East,186684
Hudson Sq,76939
Flushing,885
Norwood,129
Upper East Side North,409471
Columbia Street,9
UN/Turtle Bay South,176514
Prospect Park,717
Starrett City,22
East Elmhurst,1452
Country Club,8
Long Island City/Hunters Point,21977
New Dorp/Midland Beach,18
Whitestone,49
Bedford Park,122
Union Sq,436772
Bloomingdale,38560
Midtown East,375723
Long Island City/Queens Plaza,14792
South Jamaica,394
Downtown Brooklyn/MetroTech,15323
Glen Oaks,90
Sunset Park West,1474
Saint George/New Brighton,38
Bath Beach,86
East Flatbush/Remsen Village,158
Richmond Hill,525
East Harlem North,42937
Washington Heights South,11359
Canarsie,130
Van Cortlandt Village,143
Sutton Place/Turtle Bay North,249670
Sheepshead Bay,77
Grymes Hill/Clifton,10
LaGuardia Airport,227748
Flatlands,163
Hunts Point,129
Jamaica Estates,104
Coney Island,56
Parkchester,160
Astoria,28474
Lower East Side,196461
Garment District,173616
Cobble Hill,9667
Erasmus,284
Madison,84
East Village,419914
Carroll Gardens,9059
Gowanus,3473
Hillcrest/Pomonok,162
Lincoln Square East,365811
Fort Greene,14287
Marine Park/Mill Basin,67
Eastchester,57
Gramercy,276660
Manhattan Valley,98650
Briarwood/Jamaica Hills,834
Middle Village,292
Midtown South,312502
Mott Haven/Port Morris,2898
Battery Park City,103246
South Williamsburg,2061
Co-Op City,50
Cypress Hills,122
Glendale,133
Sunnyside,25082
Elmhurst/Maspeth,2281
Saint Albans,33
College Point,71
Manhattan Beach,34
Queens Village,114
Chinatown,28869
Ridgewood,594
Bedford,5685
Bronxdale,60
Melrose South,833
Midtown North,332023
Steinway,10986
West Brighton,6
West Village,308868
Claremont/Bathgate,147
Brooklyn Heights,15172
Baisley Park,987
Sunset Park East,182
Breezy Point/Fort Tilden/Riis Beach,1
Kips Bay,135350
Bushwick North,3678
Laurelton,28
Two Bridges/Seward Park,30366
Financial District South,40400
Astoria Park,183
Port Richmond,1
Little Italy/NoLiTa,158542
Cambria Heights,30
Roosevelt Island,1091
Jamaica Bay,2
Prospect-Lefferts Gardens,2013
Midtown Center,414493
East Flushing,57
Marine Park/Floyd Bennett Field,42
Greenwich Village South,193134
World Trade Center,49924
Woodhaven,237
Lenox Hill West,333053
Randalls Island,500
Woodside,8286
East New York/Pennsylvania Avenue,64
Belmont,87
Midwood,258
Crotona Park East,94
Flatiron,292374
Alphabet City,57369
Soundview/Bruckner,138
Fresh Meadows,84
Meatpacking/West Village West,163619
Ocean Parkway South,267
Flatbush/Ditmas Park,1641
Upper West Side South,291351
Auburndale,87
Central Park,166047
Bay Ridge,637
Fordham South,72
Bensonhurst East,77
Spuyten Duyvil/Kingsbridge,299
Maspeth,572
Murray Hill-Queens,84
Inwood,1131
University Heights/Morris Heights,258
Jamaica,861
Bellerose,111
East New York,350
Clinton East,356058
Great Kills,1
Pelham Bay,18
SoHo,121662
South Ozone Park,884
Queensbridge/Ravenswood,4306
Manhattanville,10891
Borough Park,269
Schuylerville/Edgewater Park,90
Arrochar/Fort Wadsworth,14
Williamsburg (North Side),28905
Bay Terrace/Fort Totten,25
East Williamsburg,13526
Queensboro Hill,166
Penn Station/Madison Sq West,298972
Willets Point,22
Hammels/Arverne,16
Central Harlem,40212
Howard Beach,92
Lincoln Square West,123583
Murray Hill,456524
West Chelsea/Hudson Yards,183987
Greenwich Village North,228157
Williamsburg (South Side),24901
Ozone Park,94
Clinton West,148322
Battery Park,2957
Rosedale,58
Gravesend,33
Forest Hills,2740
Allerton/Pelham Gardens,36
East Flatbush/Farragut,110
Forest Park/Highland Park,62
Eltingville/Annadale/Prince's Bay,1
Times Sq/Theatre District,446841
Brownsville,108
East Chelsea,379627
Westchester Village/Unionport,122
West Farms/Bronx River,90
Bronx Park,21
Red Hook,1075
Brighton Beach,67
Far Rockaway,18
Boerum Hill,14596
Kew Gardens,826
Central Harlem North,19214
Springfield Gardens South,350
Arden Heights,2
Stapleton,11
Saint Michaels Cemetery/Woodside,1112
East Tremont,100
Green-Wood Cemetery,42
Rockaway Park,10
Van Nest/Morris Park,153
Highbridge Park,142
Crotona Park,9
DUMBO/Vinegar Hill,5393
Financial District North,95460
Hamilton Heights,12814
South Beach/Dongan Hills,15
Williamsbridge/Olinville,87
Prospect Heights,5584
JFK Airport,199753
Brooklyn Navy Yard,413
Woodlawn/Wakefield,45
Pelham Bay Park,10
Morrisania/Melrose,284
Bloomfield/Emerson Hill,21
Seaport,23839
North Corona,605
Park Slope,18872
