pickup_zone,dropoff_zone,number_of_dropoffs,rank
Governor's Island/Ellis Island/Liberty Island,Midtown Center,1,1
Governor's Island/Ellis Island/Liberty Island,Clinton Hill,1,1
Governor's Island/Ellis Island/Liberty Island,Crown Heights North,1,1
Governor's Island/Ellis Island/Liberty Island,Gramercy,1,1
Governor's Island/Ellis Island/Liberty Island,Stuy Town/Peter Cooper Village,1,1
Governor's Island/Ellis Island/Liberty Island,Lower East Side,1,1
Governor's Island/Ellis Island/Liberty Island,TriBeCa/Civic Center,1,1
Governor's Island/Ellis Island/Liberty Island,Kips Bay,1,1
Homecrest,Homecrest,62,1
Homecrest,Midwood,16,2
Homecrest,Brighton Beach,8,3
Homecrest,Bensonhurst West,7,4
Homecrest,Flatbush/Ditmas Park,6,5
Corona,Corona,62,1
Corona,Elmhurst,43,2
Corona,Jackson Heights,32,3
Corona,North Corona,29,4
Corona,Forest Hills,16,5
Bensonhurst West,Bensonhurst West,199,1
Bensonhurst West,Bay Ridge,10,2
Bensonhurst West,Flatlands,9,3
Bensonhurst West,Bensonhurst East,7,4
Bensonhurst West,Dyker Heights,7,4
Westerleigh,Westerleigh,3,1
Westerleigh,Great Kills,1,2
Westerleigh,Grymes Hill/Clifton,1,2
Westerleigh,West Brighton,1,2
Westerleigh,Stapleton,1,2
Westerleigh,Union Sq,1,2
Westerleigh,Heartland Village/Todt Hill,1,2
Charleston/Tottenville,Murray Hill,1,1
Charleston/Tottenville,Charleston/Tottenville,1,1
Charleston/Tottenville,East Elmhurst,1,1
Charleston/Tottenville,LaGuardia Airport,1,1
Douglaston,Douglaston,19,1
Douglaston,Upper East Side North,1,2
Douglaston,Murray Hill-Queens,1,2
Douglaston,JFK Airport,1,2
Douglaston,Queens Village,1,2
Douglaston,Rosedale,1,2
Douglaston,East Flatbush/Remsen Village,1,2
Newark Airport,Newark Airport,579,1
Newark Airport,TriBeCa/Civic Center,2,2
Newark Airport,Upper East Side North,2,2
